,RoundID,MatchID,Team Initials,Coach Name,Line-up,Shirt Number,Player Name
15993,308,628,PAR,RE Cayetano (PAR),S,5,Rogelio DELGADO
15994,308,628,IRQ,EVARISTO (BRA),S,6,HUSSEIN ALI
15995,308,628,PAR,RE Cayetano (PAR),S,6,Jorge NUNEZ
15996,308,628,IRQ,EVARISTO (BRA),S,7,MOHAMED HARIS
15997,308,628,PAR,RE Cayetano (PAR),S,7,Buenaventura FERREIRA
15998,308,628,IRQ,EVARISTO (BRA),S,8,Ahmed RADHI
15999,308,628,PAR,RE Cayetano (PAR),S,8,Julio Cesar ROMERO
16000,308,628,IRQ,EVARISTO (BRA),S,10,Hussain Said MUHAMMAD
16001,308,628,PAR,RE Cayetano (PAR),S,9,Roberto CABANAS
16002,308,628,IRQ,EVARISTO (BRA),S,14,Bassel GORGIS
16003,308,628,PAR,RE Cayetano (PAR),S,10,Adolfino CANETE
16004,308,628,IRQ,EVARISTO (BRA),S,15,HASHEM NATIK
16005,308,628,PAR,RE Cayetano (PAR),S,11,Alfredo MENDOZA
16006,308,628,IRQ,EVARISTO (BRA),S,22,AL ROUBAI GHANIM
16007,308,628,PAR,RE Cayetano (PAR),N,12,Jorge BATTAGLIA
16008,308,628,IRQ,EVARISTO (BRA),N,2,Maad IBRAHIM
16009,308,628,PAR,RE Cayetano (PAR),N,13,Virginio CACERES
16010,308,628,IRQ,EVARISTO (BRA),N,9,SADDAM KARIM
16011,308,628,PAR,RE Cayetano (PAR),N,14,Luis CABALLERO
16012,308,628,IRQ,EVARISTO (BRA),N,11,ABDUL RAHIM
16013,308,628,PAR,RE Cayetano (PAR),N,15,Eufemio CABRAL
16014,308,628,IRQ,EVARISTO (BRA),N,12,ALI JAMAL
16015,308,628,PAR,RE Cayetano (PAR),N,16,Jorge GUASCH
16016,308,628,IRQ,EVARISTO (BRA),N,13,KARIM MOHAMED
16017,308,628,PAR,RE Cayetano (PAR),N,17,Francisco ALCARAZ
16018,308,628,IRQ,EVARISTO (BRA),N,16,MAHMOUD SHAKER
16019,308,628,PAR,RE Cayetano (PAR),N,18,Evaristo ISASI
16020,308,628,IRQ,EVARISTO (BRA),N,17,OBID ANNAD
16021,308,628,PAR,RE Cayetano (PAR),N,19,Rolando CHILAVERT
16022,308,628,IRQ,EVARISTO (BRA),N,18,MOHAMED ISMAIL
16023,308,628,PAR,RE Cayetano (PAR),N,20,Ramon HICKS
16024,308,628,IRQ,EVARISTO (BRA),N,19,QASSIM BASSIM
16025,308,628,PAR,RE Cayetano (PAR),N,21,Faustino ALONSO
16026,308,628,IRQ,EVARISTO (BRA),N,20,INSAYAF ABDULFATTAH
16027,308,628,PAR,RE Cayetano (PAR),N,22,Julian CORONEL
16028,308,628,IRQ,EVARISTO (BRA),N,21,Ahmed JASSIM
16029,308,517,SCO,FERGUSON Alex (SCO),S,1,Jim LEIGHTON
16030,308,517,DEN,PIONTEK Sepp (GER),S,1,Trols RASMUSSEN
16031,308,517,SCO,FERGUSON Alex (SCO),S,2,Richard GOUGH
16032,308,517,DEN,PIONTEK Sepp (GER),S,3,Soren BUSK
16033,308,517,SCO,FERGUSON Alex (SCO),S,3,Maurice MALPAS
16034,308,517,DEN,PIONTEK Sepp (GER),S,4,Morten OLSEN
16035,308,517,SCO,FERGUSON Alex (SCO),S,4,Graeme SOUNESS
16036,308,517,DEN,PIONTEK Sepp (GER),S,5,Ivan NIELSEN
16037,308,517,SCO,FERGUSON Alex (SCO),S,5,Alex McLEISH
16038,308,517,DEN,PIONTEK Sepp (GER),S,6,Soren LERBY
16039,308,517,SCO,FERGUSON Alex (SCO),S,6,Willie MILLER
16040,308,517,DEN,PIONTEK Sepp (GER),S,8,Jesper OLSEN
16041,308,517,SCO,FERGUSON Alex (SCO),S,7,Gordon STRACHAN
16042,308,517,DEN,PIONTEK Sepp (GER),S,9,Klaus BERGGREEN
16043,308,517,SCO,FERGUSON Alex (SCO),S,8,Roy AITKEN
16044,308,517,DEN,PIONTEK Sepp (GER),S,10,Preben ELKJAER LARSEN
16045,308,517,SCO,FERGUSON Alex (SCO),S,13,Stephen NICOL
16046,308,517,DEN,PIONTEK Sepp (GER),S,11,Michael LAUDRUP
16047,308,517,SCO,FERGUSON Alex (SCO),S,19,Charlie NICHOLAS
16048,308,517,DEN,PIONTEK Sepp (GER),S,12,Jens BERTELSEN
16049,308,517,SCO,FERGUSON Alex (SCO),S,20,Paul STURROCK
16050,308,517,DEN,PIONTEK Sepp (GER),S,15,Frank ARNESEN
16051,308,517,SCO,FERGUSON Alex (SCO),N,9,Eamonn BANNON
16052,308,517,DEN,PIONTEK Sepp (GER),N,2,John SIVEBAEK
16053,308,517,SCO,FERGUSON Alex (SCO),N,10,Jim BETT
16054,308,517,DEN,PIONTEK Sepp (GER),N,7,Jan MOLBY
16055,308,517,SCO,FERGUSON Alex (SCO),N,11,Paul McSTAY
16056,308,517,DEN,PIONTEK Sepp (GER),N,13,Per FRIMANN
16057,308,517,SCO,FERGUSON Alex (SCO),N,12,Andy GORAM
16058,308,517,DEN,PIONTEK Sepp (GER),N,14,Allan SIMONSEN
16059,308,517,SCO,FERGUSON Alex (SCO),N,14,David NAREY
16060,308,517,DEN,PIONTEK Sepp (GER),N,16,Ole QVIST
16061,308,517,SCO,FERGUSON Alex (SCO),N,15,Arthur ALBISTON
16062,308,517,DEN,PIONTEK Sepp (GER),N,17,Kent NIELSEN
16063,308,517,SCO,FERGUSON Alex (SCO),N,16,Frank McAVENNIE
16064,308,517,DEN,PIONTEK Sepp (GER),N,18,Flemming CHRISTENSEN
16065,308,517,SCO,FERGUSON Alex (SCO),N,17,Steve ARCHIBALD
16066,308,517,DEN,PIONTEK Sepp (GER),N,19,John ERIKSEN
