,Year,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Position_x,Country_x,Image_x,Position_y,Country_y,Image_y
331,2014,Italy,0,1,Costa Rica, ,9.0,Italy,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,34.0,Costa Rica,https://api.fifa.com/api/v1/picture/flags-sq-4/crc
332,2014,Switzerland,2,5,France, ,8.0,Switzerland,https://api.fifa.com/api/v1/picture/flags-sq-4/sui,16.0,France,https://api.fifa.com/api/v1/picture/flags-sq-4/fra
333,2014,Honduras,1,2,Ecuador, ,30.0,Honduras,https://api.fifa.com/api/v1/picture/flags-sq-4/hon,28.0,Ecuador,https://api.fifa.com/api/v1/picture/flags-sq-4/ecu
334,2014,Argentina,1,0,IR Iran, ,7.0,Argentina,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,37.0,IR Iran,https://api.fifa.com/api/v1/picture/flags-sq-4/irn
335,2014,Germany,2,2,Ghana, ,2.0,Germany,https://api.fifa.com/api/v1/picture/flags-sq-4/ger,38.0,Ghana,https://api.fifa.com/api/v1/picture/flags-sq-4/gha
336,2014,Nigeria,1,0,"rn"">Bosnia and Herzegovina", ,44.0,Nigeria,https://api.fifa.com/api/v1/picture/flags-sq-4/nga,,,
337,2014,Belgium,1,0,Russia, ,12.0,Belgium,https://api.fifa.com/api/v1/picture/flags-sq-4/bel,18.0,Russia,https://api.fifa.com/api/v1/picture/flags-sq-4/rus
338,2014,Korea Republic,2,4,Algeria, ,,,,25.0,Algeria,https://api.fifa.com/api/v1/picture/flags-sq-4/alg
339,2014,USA,2,2,Portugal, ,14.0,USA,https://api.fifa.com/api/v1/picture/flags-sq-4/usa,3.0,Portugal,https://api.fifa.com/api/v1/picture/flags-sq-4/por
340,2014,Australia,0,3,Spain, ,,,,1.0,Spain,https://api.fifa.com/api/v1/picture/flags-sq-4/esp
341,2014,Netherlands,2,0,Chile, ,15.0,Netherlands,https://api.fifa.com/api/v1/picture/flags-sq-4/ned,13.0,Chile,https://api.fifa.com/api/v1/picture/flags-sq-4/chi
342,2014,Cameroon,1,4,Brazil, ,50.0,Cameroon,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,4.0,Brazil,https://api.fifa.com/api/v1/picture/flags-sq-4/bra
343,2014,Croatia,1,3,Mexico, ,20.0,Croatia,https://api.fifa.com/api/v1/picture/flags-sq-4/cro,19.0,Mexico,https://api.fifa.com/api/v1/picture/flags-sq-4/mex
344,2014,Italy,0,1,Uruguay, ,9.0,Italy,https://api.fifa.com/api/v1/picture/flags-sq-4/ita,6.0,Uruguay,https://api.fifa.com/api/v1/picture/flags-sq-4/uru
345,2014,Costa Rica,0,0,England, ,34.0,Costa Rica,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,11.0,England,https://api.fifa.com/api/v1/picture/flags-sq-4/eng
346,2014,Japan,1,4,Colombia, ,47.0,Japan,https://api.fifa.com/api/v1/picture/flags-sq-4/jpn,5.0,Colombia,https://api.fifa.com/api/v1/picture/flags-sq-4/col
347,2014,Greece,2,1,C�te d'Ivoire, ,10.0,Greece,https://api.fifa.com/api/v1/picture/flags-sq-4/gre,,,
